374_evanyy.py;0;362_xxxxqia.py;100.0;1;233_jacnarj.py;76.6;
254_dj2014.py;2;231_silvertint10.py;88.8;3;246_Lawliet890.py;75.7;
97_nthistle.py;4;228_lih.py;75.3;5;279_lixuanji.py;72.3;6;247_testdrive123.py;72.3;
188_Gambler147.py;7;73_weak-chicken.py;74.2;8;394_nostrekab.py;82.8;
362_xxxxqia.py;9;233_jacnarj.py;76.6;
246_Lawliet890.py;10;231_silvertint10.py;75.7;11;29_please_AC.py;63.6;
279_lixuanji.py;12;228_lih.py;71.2;13;247_testdrive123.py;71.2;
247_testdrive123.py;14;228_lih.py;69.1;15;126_PoomrokC.py;57.9;
31_serdes.py;16;36_Hexadecimal.py;68.9;17;268_capybara.py;82.7;
1010_intoloop.py;18;353_ting-ting-28.py;64.1;19;285_tommyjiang.py;65.8;20;312_zy_.py;60.9;21;307_yan-ming-5.py;60.9;22;1005_maiff.py;58.5;
360_dva2.py;23;32_leafblade.py;61.7;
313_simpleson.py;24;123_yuhan-wang.py;64.5;25;141_3abc.py;59.2;
353_ting-ting-28.py;26;285_tommyjiang.py;64.1;
394_nostrekab.py;27;268_capybara.py;61.7;
117_yuhsiangliu.py;28;109_tonghuikang.py;61.2;29;383_Lareine.py;70.9;
