325_khaufnak.java;0;315_cheng-en.java;98.7;1;202_wengames.java;94.7;2;248_anhpp.java;80.5;3;96_TheRaven.java;77.9;
374_tetena573.java;4;136_danielcy715.java;97.0;5;390_nagabhushan.java;86.5;6;198_YuhanWu.java;80.5;
202_wengames.java;7;248_anhpp.java;96.0;8;96_TheRaven.java;93.3;9;315_cheng-en.java;93.3;10;155_muhandae.java;82.6;
246_wtf_wtf.java;11;253_HenryLee4.java;93.3;12;336_guoyihua.java;73.6;
367_luo122174088.java;13;314_swishx.java;86.9;14;136_danielcy715.java;78.2;
390_nagabhushan.java;15;136_danielcy715.java;86.5;16;198_YuhanWu.java;81.8;
247_ChenDanni.java;17;336_guoyihua.java;85.7;18;106_Sun_WuKong.java;70.1;
198_YuhanWu.java;19;360_RichardBot7000.java;84.0;20;68_SaveVMK.java;75.0;
248_anhpp.java;21;96_TheRaven.java;78.9;22;315_cheng-en.java;78.9;
96_TheRaven.java;23;315_cheng-en.java;76.3;
68_SaveVMK.java;24;354_acaibird.java;76.1;25;360_RichardBot7000.java;71.6;26;1_uwi.java;70.9;
145_2499370956.java;27;285_megaspazz.java;75.0;28;1_uwi.java;74.1;
285_megaspazz.java;29;1_uwi.java;71.8;
