121_karutz.py;0;100_zdu011.py;85.0;
241_atf.py;1;509_uhag3ku1xp.py;83.0;2;434_kimuchibox4000.py;66.6;
545_brickmaker.py;3;524_lightningtang27.py;76.0;4;486_kuro10.py;73.4;5;973_dinrker.py;61.5;
704_beanjava.py;6;432_sidag.py;74.5;
33_qqwqert007-5.py;7;431_K_kkkyle.py;70.0;8;97_nthistle.py;63.1;9;410_foreveriii.py;63.1;
99_richenyunqi.py;10;190_jpf1983.py;69.7;11;46_angel30818.py;65.1;
141_3abc.py;12;256_x1ko.py;69.5;13;82_zerotrac2.py;68.1;
406_shinan88888.py;14;814_ye15.py;69.0;15;394_nostrekab.py;64.1;
97_nthistle.py;16;410_foreveriii.py;68.4;17;431_K_kkkyle.py;60.0;
820_yyoon.py;18;407_Shf.py;68.0;
398_lucien_z.py;19;245_spxyj.py;66.6;
553_buffa.py;20;203_sumandinu.py;64.6;
46_angel30818.py;21;190_jpf1983.py;63.6;
554_shuixiaoyuan.py;22;376_LarryNY.py;62.5;
360_dva2.py;23;226_chenjianxu97.py;62.5;
123_yuhan-wang.py;24;924_blueye.py;61.9;25;755_xiszishu.py;60.4;
654_ttjtftx.py;26;427_TianyouLi.py;61.0;
73_weak-chicken.py;27;604_it_boy94.py;60.8;
814_ye15.py;28;394_nostrekab.py;60.7;
715_Yaang.py;29;650_Copyrightly.py;60.3;
